"Choice","A_follower_count","A_following_count","A_listed_count","A_mentions_received","A_retweets_received","A_mentions_sent","A_retweets_sent","A_posts"       ,"A_network_feature_1","A_network_feature_2","A_network_feature_3","B_follower_count","B_following_count","B_listed_count","B_mentions_received","B_retweets_received","B_mentions_sent","B_retweets_sent","B_posts"       ,"B_network_feature_1","B_network_feature_2","B_network_feature_3"
1       ,3764              ,703                ,222             ,"5.2706205371"       ,"1.6011585692"       ,"2.33833256056"  ,"0.100503358535" ,"1.59653867023" ,18                   ,"139.444444444"      ,"4573.88888889"      ,708               ,631                ,26              ,"18.7767030699"      ,"5.99968059257"      ,"7.74791947557"  ,"4.967946648"    ,"10.6918784986" ,52                   ,"33.2075471698"      ,"876.433962264"
0       ,6118              ,4005               ,460             ,"18.0701791025"      ,"5.49605623644"      ,"7.67663904611"  ,"0.100503358535" ,"4.9955183554"  ,61                   ,"130.6875"           ,"2556.28125"         ,1570              ,1473               ,116             ,"3.24969306976"      ,"1.21161507337"      ,"1.16302766131"  ,"0.367462556237" ,"1.41946760145" ,12                   ,"42.4166666667"      ,"520.0"
1       ,3722              ,285                ,103             ,"17.1484351254"      ,"2.71753222201"      ,"5.87896379302"  ,"0.610818839424" ,"3.58359551723" ,61                   ,"79.4032258065"      ,"5921.35483871"      ,20                ,7                  ,2               ,"7.69082373179"      ,"0.277305640849"     ,"1.33150797971"  ,"0.100503358535" ,"2.83062680131" ,6                    ,"2.0"                ,"96.1666666667"
0       ,488553            ,38857              ,6666            ,"44.9295850425"      ,"5.14356577277"      ,"2.29966575197"  ,"0.571441825748" ,"2.29727556415" ,170                  ,"396.432748538"      ,"14225.1754386"      ,53678             ,1751               ,496             ,"191.438869699"      ,"62.7249449229"      ,"0.100503358535" ,"0.100503358535" ,"0.100503358535",599                  ,"15.1765676568"      ,"3087.46369637"
1       ,7360339           ,95                 ,43590           ,"12473.150064"       ,"9597.00107289"      ,"5.32394729283"  ,"1.35362352682"  ,"8.26623872778" ,46906                ,"7.32031991897"      ,"838.486589149"      ,28613             ,3557               ,9               ,"0.75143425077"      ,"0.295998478572"     ,"0.100503358535" ,"0.100503358535" ,"0.100503358535",3                    ,"2.66666666667"      ,"218.333333333"
1       ,1641075           ,695                ,14343           ,"5237.29104892"      ,"1080.58372601"      ,"17.6361116683"  ,"3.39282996065"  ,"6.62220586411" ,15102                ,"9.58360202672"      ,"1249.68052905"      ,11427             ,1951               ,1069            ,"31.2018970657"      ,"9.46773932115"      ,"12.7086399663"  ,"1.09142538088"  ,"16.9942186851" ,126                  ,"322.842519685"      ,"6522.99212598"
0       ,725               ,645                ,44              ,"4.10829871077"      ,"0.709693061502"     ,"1.56890938185"  ,"0.834706370192" ,"1.83266497678" ,15                   ,"128.8"              ,"2381.46666667"      ,1445520           ,260                ,6737            ,"52.1790895658"      ,"13.5647223441"      ,"3.46356134255"  ,"1.06212017228"  ,"2.77127001244" ,219                  ,"260.739726027"      ,"13653.173516"
0       ,369               ,454                ,6               ,"0.299967821383"     ,"0.100503358535"     ,"0.362150068203" ,"0.100503358535" ,"0.849992267715",1                    ,"7.0"                ,"398.0"              ,172               ,256                ,4               ,"0.762328802664"     ,"0.36479296426"      ,"0.100503358535" ,"0.100503358535" ,"0.100503358535",3                    ,"94.3333333333"      ,"1398.66666667"
1       ,119001            ,119704             ,2266            ,"63.6032615837"      ,"17.010681516"       ,"11.2328519009"  ,"0.100503358535" ,"6.62889672446" ,206                  ,"167.913043478"      ,"6161.9178744"       ,628               ,921                ,6               ,"3.94384833948"      ,"0.618590008348"     ,"4.76992966496"  ,"0.87013612691"  ,"2.95323721997" ,8                    ,"210.625"            ,"14027.5"
1       ,32342             ,2622               ,1061            ,"64.641881773"       ,"21.4921308523"      ,"22.2502876588"  ,"0.583369584856" ,"27.5128375473" ,271                  ,"184.297794118"      ,"7245.23161765"      ,3525              ,3115               ,131             ,"0.100503358535"     ,"0.100503358535"     ,"0.100503358535" ,"0.100503358535" ,"0.100503358535",0                    ,"0.0"                ,"0.0"
1       ,1912232           ,33395              ,14891           ,"38159.5386095"      ,"131.9544457"        ,"2.17324140238"  ,"0.62379677787"  ,"4.14311524276" ,21964                ,"19.2453627508"      ,"1027.42097771"      ,112               ,243                ,5               ,"1.4451735361"       ,"0.100503358535"     ,"0.100503358535" ,"0.100503358535" ,"0.603176929208",5                    ,"96.6"               ,"1414.2"
0       ,53678             ,1751               ,496             ,"191.438869699"      ,"62.7249449229"      ,"0.100503358535" ,"0.100503358535" ,"0.100503358535",599                  ,"15.1765676568"      ,"3087.46369637"      ,2256591           ,735                ,22670           ,"488.964332631"      ,"211.425789685"      ,"0.865711164193" ,"0.36479296426"  ,"0.847756741777",1917                 ,"41.4878301398"      ,"3843.37648887"
0       ,7554              ,1711               ,181             ,"21.6018659681"      ,"3.58166112737"      ,"6.76465704261"  ,"1.11972669857"  ,"4.56324632433" ,85                   ,"48.5"               ,"1993.62790698"      ,23230             ,495                ,826             ,"118.052431863"      ,"56.6682926506"      ,"6.37320537301"  ,"0.840719744654" ,"9.82700494448" ,466                  ,"105.210638298"      ,"3589.00425532"
1       ,1221              ,313                ,105             ,"0.367462556237"     ,"0.367462556237"     ,"0.100503358535" ,"0.100503358535" ,"0.100503358535",1                    ,"9.0"                ,"1096.0"             ,1010              ,1014               ,62              ,"0.957689623377"     ,"0.100503358535"     ,"1.04701773537"  ,"0.337131952744" ,"0.337131952744",4                    ,"154.75"             ,"1705.0"
1       ,35420121          ,136440             ,243073          ,"33169.806819"       ,"6627.82220971"      ,"0.100503358535" ,"0.100503358535" ,"0.100503358535",54819                ,"17.6760845853"      ,"2006.1760494"       ,352126            ,499                ,4428            ,"476.925046137"      ,"201.19920615"       ,"6.7102808036"   ,"0.100503358535" ,"7.97454850173" ,1881                 ,"54.1995809324"      ,"4991.58983761"
0       ,364               ,927                ,6               ,"0.551680477817"     ,"0.310247364657"     ,"0.834980862738" ,"0.339522140564" ,"0.832590674918",2                    ,"1.5"                ,"122.0"              ,671               ,215                ,17              ,"0.354378899279"     ,"0.100503358535"     ,"0.100503358535" ,"0.100503358535" ,"0.100503358535",1                    ,"1.0"                ,"148.0"
